,year,event,round,heat,name,scores
36,2008,Rip Curl Pro Bells Beach,Round 1,Heat 2 ,Travis Logie,"[3.0, 1.83, 3.0]"
37,2008,Rip Curl Pro Bells Beach,Round 1,Heat 3 ,Jeremy Flores,"[6.5, 6.33, 0.5]"
38,2008,Rip Curl Pro Bells Beach,Round 1,Heat 3 ,Bruce Irons,"[2.6, 5.4, 0.9, 5.43]"
39,2008,Rip Curl Pro Bells Beach,Round 1,Heat 3 ,Tiago Pires,"[0.83, 3.17, 5.0, 2.1, 1.5, 0.93, 4.0]"
40,2008,Rip Curl Pro Bells Beach,Round 1,Heat 4 ,Pancho Sullivan,"[5.17, 7.0, 2.67, 6.77]"
41,2008,Rip Curl Pro Bells Beach,Round 1,Heat 4 ,Neco Padaratz,"[2.0, 0.2, 4.67, 6.0]"
42,2008,Rip Curl Pro Bells Beach,Round 1,Heat 4 ,Jihad Khodr,"[4.67, 3.67, 5.47]"
43,2008,Rip Curl Pro Bells Beach,Round 1,Heat 5 ,Andy Irons,"[2.0, 7.17, 5.67]"
44,2008,Rip Curl Pro Bells Beach,Round 1,Heat 5 ,Jordy Smith,"[3.67, 6.5]"
45,2008,Rip Curl Pro Bells Beach,Round 1,Heat 5 ,Chris Ward,"[1.67, 1.87, 6.0]"
